id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes,acquisition_age,roles_present,objects_present,has_relationship,related_images,personalized
nouns.colors.red,Nouns,,,red,,,,,,,,,,,,,,,,"A vertical bar of solid red filling the left third of the frame, and a shiny red apple beside it on the right, colored the exact same red as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.blue,Nouns,,,blue,,,,,,,,,,,,,,,,"A vertical bar of solid blue filling the left third of the frame, and a round blue ball beside it on the right, colored the exact same blue as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.green,Nouns,,,green,,,,,,,,,,,,,,,,"A vertical bar of solid green filling the left third of the frame, and a small green frog beside it on the right, colored the exact same green as the bar; plain soft background.",,,,,,,
nouns.colors.yellow,Nouns,,,yellow,,,,,,,,,,,,,,,,"A vertical bar of solid yellow filling the left third of the frame, and a ripe yellow banana beside it on the right, colored the exact same yellow as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.orange,Nouns,,,orange,,,,,,,,,,,,,,,,"A vertical bar of solid orange filling the left third of the frame, and a whole orange fruit beside it on the right, colored the exact same orange as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.purple,Nouns,,,purple,,,,,,,,,,,,,,,,"A vertical bar of solid purple filling the left third of the frame, and a bunch of purple grapes beside it on the right, colored the exact same purple as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.pink,Nouns,,,pink,,,,,,,,,,,,,,,,"A vertical bar of solid pink filling the left third of the frame, and a pink flower beside it on the right, colored the exact same pink as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.black,Nouns,,,black,,,,,,,,,,,,,,,,"A vertical bar of solid black filling the left third of the frame, and a fluffy black cat sitting beside it on the right, colored the exact same black as the bar; plain soft background.",,,,,,,
nouns.colors.white,Nouns,,,white,,,,,,,,,,,,,,,,"A vertical bar of solid white with a thin soft outline filling the left third of the frame, and a plump white egg beside it on the right, colored the exact same white as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.brown,Nouns,,,brown,,,,,,,,,,,,,,,,"A vertical bar of solid brown filling the left third of the frame, and a soft brown teddy bear beside it on the right, colored the exact same brown as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.more.gray,Nouns,,,gray,,,,,,,,,,,,,,,,"A vertical bar of solid gray filling the left third of the frame, and a gray elephant beside it on the right, colored the exact same gray as the bar; plain soft background.",,,,,,,
nouns.colors.more.gold,Nouns,,,gold,,,,,,,,,,,,,,,,"A vertical bar of solid gold filling the left third of the frame, and a shiny gold star beside it on the right, colored the exact same gold as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.more.silver,Nouns,,,silver,,,,,,,,,,,,,,,,"A vertical bar of solid silver filling the left third of the frame, and a shiny silver spoon beside it on the right, colored the exact same silver as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.more.lime,Nouns,,,lime,,,,,,,,,,,,,,,,"A vertical bar of solid lime filling the left third of the frame, and a whole lime fruit beside it on the right, colored the exact same lime as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.more.teal,Nouns,,,teal,,,,,,,,,,,,,,,,"A vertical bar of solid teal filling the left third of the frame, and a small teal fish beside it on the right, colored the exact same teal as the bar; plain soft background.",,,,,,,
nouns.colors.more.navy,Nouns,,,navy,,,,,,,,,,,,,,,,"A vertical bar of solid navy filling the left third of the frame, and a navy blue backpack beside it on the right, colored the exact same navy as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.more.peach,Nouns,,,peach,,,,,,,,,,,,,,,,"A vertical bar of solid peach filling the left third of the frame, and a ripe peach fruit beside it on the right, colored the exact same peach as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.more.tan,Nouns,,,tan,,,,,,,,,,,,,,,,"A vertical bar of solid tan filling the left third of the frame, and a tan puppy sitting beside it on the right, colored the exact same tan as the bar; plain soft background.",,,,,,,
nouns.colors.more.maroon,Nouns,,,maroon,,,,,,,,,,,,,,,,"A vertical bar of solid maroon filling the left third of the frame, and a maroon balloon beside it on the right, colored the exact same maroon as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
nouns.colors.more.turquoise,Nouns,,,turquoise,,,,,,,,,,,,,,,,"A vertical bar of solid turquoise filling the left third of the frame, and a turquoise crayon beside it on the right, colored the exact same turquoise as the bar; plain soft background — a plain object, no face, eyes, or mouth.",,,,,,,
