id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes
needs.up,Nouns,Position,,up,,concept,none,v1_core,true,stage_5plus,,false,,,,"'Up' means toward the sky, or higher than where you are now. | You say it when you want to go higher or be picked up. | Try it like this: 'Up, please!' when you want to be lifted.",universal,canonical,draft,"A {style} of {reference} reaching both arms up with a soft upward arrow, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""up"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.down,Nouns,Position,,down,,concept,none,v1_core,true,stage_5plus,,false,,,,"'Down' means toward the floor, or lower than where you are now. | You say it when you want to get down or put something low. | Try it like this: 'Down, please' when you want to get off a lap.",universal,canonical,draft,"A {style} of {reference} gesturing downward with a soft downward arrow, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""down"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.in,Nouns,Position,,in,,concept,none,v1_extended,false,stage_5plus,,false,,,,"'In' means inside of something. | You say it when something goes into a box, a cup, or a room. | Try it like this: 'Put it in' or 'I'm in!'",universal,canonical,draft,"A {style} of a hand placing a small block into an open box, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""in"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.out,Nouns,Position,,out,,concept,none,v1_extended,false,stage_5plus,,false,,,,"'Out' means away from the inside — leaving a place, or pulling something free. | You say it when you want to head outside or take something from a container. | Try it like this: 'Let's go out' or 'Take it out.'",universal,canonical,draft,"A {style} of a hand taking a small block out of an open box, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""out"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.here,Nouns,Position,,here,,concept,none,v1_extended,false,stage_5plus,,false,,,,"'Here' means this spot, close to you. | You say it to show where something is or to call someone over. | Try it like this: 'Come here' or 'Put it here.'",universal,canonical,draft,"A {style} of {reference} pointing down to a spot right in front of them, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""here"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.happy,Nouns,Feelings,,happy,,concept,none,v1_core,true,stage_5plus,,false,,,,"'Happy' means you feel good and glad inside. | When you're happy, you smile, your eyes light up, and you might laugh or jump. | You might feel happy when you play or get a hug. You can say 'I'm happy!'",universal,canonical,draft,"A {style} of {reference} with a big happy smile and bright eyes, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""happy"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.sad,Nouns,Feelings,,sad,,concept,none,v1_core,true,stage_5plus,,false,,,,"'Sad' means you feel down or unhappy inside. | When you're sad, your mouth turns down, your eyes get teary, and you may want a hug. | You might feel sad when you miss someone. You can say 'I'm sad' and ask for a hug.",universal,canonical,draft,"A {style} of {reference} with a gentle sad face and a single small tear, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""sad"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.mad,Nouns,Feelings,,mad,,concept,none,v1_core,true,stage_5plus,,false,,,,"'Mad' means you feel upset and angry, like something isn't fair. | Your face feels hot, your hands squeeze tight, and you might want to yell. | You might feel mad when a toy breaks. You can say 'I'm mad!' and take a big breath.",universal,canonical,draft,"A {style} of {reference} with crossed arms and a mildly frustrated frown (not scary), one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""mad"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.scared,Nouns,Feelings,,scared,,concept,none,v1_core,true,stage_5plus,,false,,,,"'Scared' means you feel afraid that something might happen. | Your heart beats fast, your tummy flips, and you want to hide or hold someone. | You might feel scared of a loud noise or the dark. You can say 'I'm scared' and ask someone to stay with you.",universal,canonical,draft,"A {style} of {reference} with wide eyes holding a blanket, mildly worried (gentle), one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""scared"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.tired,Nouns,Feelings,,tired,,concept,none,v1_core,true,stage_5plus,,false,,,,"Tired is the heavy, sleepy feeling when your body wants to rest. | Your eyes droop and you might yawn — you need a break or a nap. | Try it like this: 'I'm tired' or 'I want to rest.'",universal,canonical,draft,"A {style} of a yawning child rubbing one eye, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""tired"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.sick,Nouns,Feelings,,sick,,concept,none,v1_core,true,stage_5plus,,false,,,,"'Sick' means your body doesn't feel well all over. | You might feel hot, achy, sniffly, or tired. | When you feel sick, tell a grown-up 'I feel sick' so they can take care of you.",universal,canonical,draft,"A {style} of {reference} resting with a thermometer, looking a little under the weather (gentle), one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""sick"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.silly,Nouns,Feelings,,silly,,concept,none,v1_extended,false,stage_5plus,,false,,,,"'Silly' means you feel playful and goofy and want to be funny. | You make funny faces, giggle, and feel a little wild. | You might feel silly when you're joking around. You can say 'I'm being silly!'",universal,canonical,draft,"A {style} of {reference} making a playful goofy face, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""silly"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
needs.feelings.calm,Nouns,Feelings,,calm,,concept,none,v1_extended,false,stage_5plus,,false,,,,"'Calm' means you feel quiet, relaxed, and peaceful inside. | Your body is loose, your breathing is slow, and you feel okay. | You might feel calm after a hug or a deep breath. You can say 'I feel calm.'",universal,canonical,draft,"A {style} of a relaxed child breathing peacefully with a soft smile, one clear friendly figure centered on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""calm"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
