id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,notes,prompt_template,listen_variants,sort_order
food.breakfast.eggs_scrambled,Nouns,Food,Breakfast,scrambled eggs,,object,none,v1_extended,TRUE,stage_5plus,breakfast,FALSE,,,,Scrambled eggs is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of soft fluffy yellow scrambled eggs piled on a plate — a plain food item on a plain plate, no face, eyes, or mouth.",,1
food.breakfast.eggs_fried,Nouns,Food,Breakfast,fried egg,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Fried egg is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of one fried egg with a bright round yolk — a plain food item on a plain plate, no face, eyes, or mouth.",,2
food.breakfast.eggs_over_easy,Nouns,Food,Breakfast,over easy eggs,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Over easy eggs is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of two over-easy eggs with soft runny yolks — a plain food item on a plain plate, no face, eyes, or mouth.",,3
food.breakfast.eggs_boiled,Nouns,Food,Breakfast,boiled egg,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Boiled egg is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a peeled hard-boiled egg cut in half — a plain food item on a plain plate, no face, eyes, or mouth.",,4
food.breakfast.eggs_omelet,Nouns,Food,Breakfast,omelet,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Omelet is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a folded yellow omelet — a plain food item on a plain plate, no face, eyes, or mouth.",,5
food.breakfast.bacon,Nouns,Food,Breakfast,bacon,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Bacon is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a few crispy strips of bacon — a plain food item on a plain plate, no face, eyes, or mouth.",,6
food.breakfast.sausage,Nouns,Food,Breakfast,sausage,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Sausage is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of two breakfast sausage links — a plain food item on a plain plate, no face, eyes, or mouth.",,7
food.breakfast.toast,Nouns,Food,Breakfast,toast,,object,none,v1_extended,TRUE,stage_5plus,breakfast,FALSE,,,,Toast is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a piece of golden toast — a plain food item on a plain plate, no face, eyes, or mouth.",,8
food.breakfast.french_toast,Nouns,Food,Breakfast,french toast,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,French toast is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a stack of french toast with powdered sugar — a plain food item on a plain plate, no face, eyes, or mouth.",,9
food.breakfast.biscuit,Nouns,Food,Breakfast,biscuit,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Biscuit is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a fluffy golden biscuit — a plain food item on a plain plate, no face, eyes, or mouth.",,10
food.breakfast.hash_browns,Nouns,Food,Breakfast,hash browns,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Hash browns is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a crispy golden hash brown patty — a plain food item on a plain plate, no face, eyes, or mouth.",,11
food.breakfast.granola,Nouns,Food,Breakfast,granola,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Granola is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a bowl of crunchy granola — a plain food item on a plain plate, no face, eyes, or mouth.",,12
food.breakfast.breakfast_burrito,Nouns,Food,Breakfast,breakfast burrito,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Breakfast burrito is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a wrapped breakfast burrito cut in half — a plain food item on a plain plate, no face, eyes, or mouth.",,13
food.breakfast.donut_glazed,Nouns,Food,Breakfast,glazed donut,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Glazed donut is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of one shiny glazed donut — a plain food item on a plain plate, no face, eyes, or mouth.",,14
food.breakfast.croissant,Nouns,Food,Breakfast,croissant,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Croissant is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a flaky golden croissant — a plain food item on a plain plate, no face, eyes, or mouth.",,15
food.breakfast.pop_tart,Nouns,Food,Breakfast,toaster pastry,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Toaster pastry is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a frosted toaster pastry with sprinkles — a plain food item on a plain plate, no face, eyes, or mouth.",,16
food.breakfast.grits,Nouns,Food,Breakfast,grits,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Grits is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a warm bowl of creamy grits — a plain food item on a plain plate, no face, eyes, or mouth.",,17
food.breakfast.smoothie_bowl,Nouns,Food,Breakfast,smoothie bowl,,object,none,v1_extended,FALSE,stage_5plus,breakfast,FALSE,,,,Smoothie bowl is a breakfast food. | You might eat it in the morning. | It tastes good.,universal,canonical,draft,,"A {style} of a colorful smoothie bowl topped with fruit — a plain food item on a plain plate, no face, eyes, or mouth.",,18
food.lunch.grilled_cheese,Nouns,Food,Lunch,grilled cheese,,object,none,v1_extended,TRUE,stage_5plus,lunch,FALSE,,,,Grilled cheese is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a grilled cheese sandwich cut in half with melty cheese — a plain food item on a plain plate, no face, eyes, or mouth.",,1
food.lunch.pbj,Nouns,Food,Lunch,PB and J,,object,none,v1_extended,TRUE,stage_5plus,lunch,FALSE,,,,PB and J is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a peanut butter and jelly sandwich in triangles — a plain food item on a plain plate, no face, eyes, or mouth.",,2
food.lunch.turkey_sandwich,Nouns,Food,Lunch,turkey sandwich,,object,none,v1_extended,FALSE,stage_5plus,lunch,FALSE,,,,Turkey sandwich is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a turkey sandwich with lettuce — a plain food item on a plain plate, no face, eyes, or mouth.",,3
food.lunch.ham_sandwich,Nouns,Food,Lunch,ham sandwich,,object,none,v1_extended,FALSE,stage_5plus,lunch,FALSE,,,,Ham sandwich is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a ham and cheese sandwich — a plain food item on a plain plate, no face, eyes, or mouth.",,4
food.lunch.mac_cheese,Nouns,Food,Lunch,mac and cheese,,object,none,v1_extended,TRUE,stage_5plus,lunch,FALSE,,,,Mac and cheese is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a bowl of macaroni and cheese — a plain food item on a plain plate, no face, eyes, or mouth.",,5
food.lunch.quesadilla,Nouns,Food,Lunch,quesadilla,,object,none,v1_extended,FALSE,stage_5plus,lunch,FALSE,,,,Quesadilla is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a cheese quesadilla in wedges — a plain food item on a plain plate, no face, eyes, or mouth.",,6
food.lunch.chicken_nuggets,Nouns,Food,Lunch,chicken nuggets,,object,none,v1_extended,FALSE,stage_5plus,lunch,FALSE,,,,Chicken nuggets is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a few golden chicken nuggets — a plain food item on a plain plate, no face, eyes, or mouth.",,7
food.lunch.tomato_soup,Nouns,Food,Lunch,tomato soup,,object,none,v1_extended,FALSE,stage_5plus,lunch,FALSE,,,,Tomato soup is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a bowl of creamy tomato soup — a plain food item on a plain plate, no face, eyes, or mouth.",,8
food.lunch.chicken_soup,Nouns,Food,Lunch,chicken noodle soup,,object,none,v1_extended,FALSE,stage_5plus,lunch,FALSE,,,,Chicken noodle soup is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a bowl of chicken noodle soup — a plain food item on a plain plate, no face, eyes, or mouth.",,9
food.lunch.wrap,Nouns,Food,Lunch,wrap,,object,none,v1_extended,FALSE,stage_5plus,lunch,FALSE,,,,Wrap is a lunch food. | You might eat it in the middle of the day. | It tastes good.,universal,canonical,draft,,"A {style} of a rolled sandwich wrap cut in half — a plain food item on a plain plate, no face, eyes, or mouth.",,10
