id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes,acquisition_age
people.family.me,People,Family,,Me,,child_as_subject,none,v1_core,true,stage_1,,false,,,,"This one is you! It's how you talk about yourself. | When you press it, you're telling someone about you. | Try it like this: 'Me!' or 'It's me.'",universal,canonical,draft,"A {style} portrait based on {reference} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.","Personalize-required: the child, from the onboarding photo.",12-18m
people.family.mom,People,Family,,Mom,,person,override,v1_core,true,stage_1,,false,,,,"Your mom is the grown-up who loves you and takes care of you. | She hugs you, feeds you, and is there when you need her. | Try it like this: 'I want Mom.'",universal,canonical,draft,"A {style} portrait based on {parent_photo} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",Personalize-required: uploaded parent photo.,12-18m
people.family.dad,People,Family,,Dad,,person,override,v1_core,true,stage_1,,false,,,,"Your dad is the grown-up who loves you and takes care of you. | He plays with you, holds you, and is there when you need him. | Try it like this: 'I want Dad.'",universal,canonical,draft,"A {style} portrait based on {parent_photo} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",Personalize-required: uploaded parent photo.,12-18m
people.family.brother,People,Family,,Brother,,person,override,v1_extended,false,stage_5plus,,false,,,,"Your brother is a boy in your family, with your same parents. | He's family — you live together, share, and play. | Try it like this: 'That's my brother.'",universal,canonical,draft,"A {style} portrait based on {parent_photo} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",,18-30m
people.family.sister,People,Family,,Sister,,person,override,v1_extended,false,stage_5plus,,false,,,,"Your sister is a girl in your family, with your same parents. | She's family — you live together, share, and play. | Try it like this: 'That's my sister.'",universal,canonical,draft,"A {style} portrait based on {parent_photo} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",,18-30m
people.family.baby,People,Family,,Baby,,person,override,v1_extended,false,stage_5plus,,false,,,,"A baby is the littlest person in the family, brand new. | Babies are small and soft — they sleep a lot and need gentle care. | Try it like this: 'Look at the baby.'",universal,canonical,draft,"A {style} portrait based on {parent_photo} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",,12-18m
people.family.grandma,People,Family,,Grandma,,person,override,v1_extended,false,stage_5plus,,false,,,,"Your grandma is your mom's mom or your dad's mom. | She loves you, spoils you a little, and gives the best hugs. | Try it like this: 'I want to see Grandma.'",universal,canonical,draft,"A {style} portrait based on {parent_photo} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",,18-30m
people.family.grandpa,People,Family,,Grandpa,,person,override,v1_extended,false,stage_5plus,,false,,,,"Your grandpa is your mom's dad or your dad's dad. | He loves you, tells stories, and likes spending time with you. | Try it like this: 'I want to see Grandpa.'",universal,canonical,draft,"A {style} portrait based on {parent_photo} — a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",,18-30m
people.community.friend,People,Community,,Friend,,person,none,v1_extended,false,stage_5plus,,false,,,,"A friend is someone you like to be with and play with. | You share, take turns, and have fun together. | Try it like this: 'You're my friend.'",universal,canonical,draft,"A {style} of a friendly child friend the same age: a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",,3-4y
people.community.teacher,People,Community,,Teacher,,person,none,v1_extended,false,stage_5plus,,false,,,,"A teacher helps you learn new things at school. | They read books, show letters and numbers, and help with activities. | You see your teacher at school every day.",universal,canonical,draft,"A {style} of a friendly teacher: a warm, friendly head-and-shoulders portrait with a gentle smile on a plain soft pastel background; soft even lighting; keep them clearly recognizable and kind-looking.",,3-4y
