id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes,acquisition_age,roles_present,objects_present,has_relationship,related_images,personalized,listen_variants
people.helpers.speech_teacher,People,Helpers,,speech teacher,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,A speech teacher helps you practice your words. | You might play talking games together. | They love hearing you say new things.,universal,canonical,draft,"A {style} of a friendly adult sitting across a small table from a picture card and a mirror, mouth open mid-sound, pointing to their own lips.",,,adult,,FALSE,,FALSE,speech therapist|slp|speech lady|speech man
people.helpers.occupational_therapist,People,Helpers,,occupational therapist,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,An occupational therapist helps your hands get strong and steady. | You might squeeze putty or string big beads together. | They make hard things feel easier.,universal,canonical,draft,"A {style} of a friendly adult at a low table with putty, big beads, and chunky scissors laid out ready for hand play.",,,adult,,FALSE,,FALSE,ot|occupational therapy
people.helpers.physical_therapist,People,Helpers,,physical therapist,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,"A physical therapist helps your body move and balance. | You might climb, stretch, or bounce on a big ball. | They cheer when you get stronger.",universal,canonical,draft,A {style} of a friendly adult kneeling beside a soft balance beam and a big exercise ball in a bright therapy gym.,,,adult,,FALSE,,FALSE,pt|physical therapy
people.helpers.behavior_therapist,People,Helpers,,behavior therapist,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,A behavior therapist practices new skills with you. | You might earn tokens for trying hard. | They help tricky moments feel easier.,universal,canonical,draft,A {style} of a friendly adult sitting on a play mat with a token board and a bin of favorite toys beside them.,,,adult,,FALSE,,FALSE,aba|behavior teacher|aba therapist
people.helpers.teachers_helper,People,Helpers,,teacher's helper,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,A teacher's helper works in your classroom. | They sit near you when work is tricky. | They help everyone do their best.,universal,canonical,draft,"A {style} of a friendly adult crouched beside a school desk, holding a pencil cup and helping steady a worksheet.",,,adult,,FALSE,,FALSE,teachers helper|aide|para|paraprofessional|classroom helper
people.helpers.school_nurse,People,Helpers,,school nurse,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,"The school nurse helps when you feel sick at school. | They check bumps, take temperatures, and give band-aids. | You might get a sticker for being brave.",universal,canonical,draft,"A {style} of a friendly adult in a small school health room beside a cot, holding a thermometer and a sticker sheet.",,,adult,,FALSE,,FALSE,nurse
people.helpers.counselor,People,Helpers,,counselor,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,A counselor listens when you have big feelings. | You can talk or play while you visit. | They help problems feel smaller.,universal,canonical,draft,A {style} of a friendly adult in a cozy office corner with two beanbag chairs and a shelf of feelings picture books.,,,adult,,FALSE,,FALSE,counsellor
people.helpers.tutor,People,Helpers,,tutor,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,A tutor helps you practice school work. | You might read or count together. | They make learning feel like a game.,universal,canonical,draft,"A {style} of a friendly adult at a kitchen table beside an open workbook, pointing at a page with a pencil.",,,adult,,FALSE,,FALSE,
people.helpers.babysitter,People,Helpers,,babysitter,,person,none,v1_extended,FALSE,stage_4,,FALSE,,,,A babysitter takes care of you when your grown-ups are out. | You might play games and have a snack. | They keep you safe until your family comes home.,universal,canonical,draft,A {style} of a friendly adult sitting on a living-room rug building a block tower next to a stack of bedtime books.,,,adult,,FALSE,,FALSE,baby sitter|sitter|nanny
nouns.health.bandaid,Nouns,Health,,band-aid,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,A band-aid covers a scrape or cut. | It keeps an owie clean while it heals. | Some have fun colors on them.,universal,canonical,draft,"A {style} of a small adhesive bandage being smoothed onto a scraped knee — a plain bandage, no face, eyes, or mouth.",,,,,FALSE,,FALSE,bandaid|band aid|bandage
nouns.health.tissue,Nouns,Health,,tissue,,object,none,v1_extended,FALSE,stage_3,,FALSE,,,,A tissue is for wiping your nose. | You grab one when you sneeze. | Then it goes in the trash.,universal,canonical,draft,"A {style} of one soft white tissue being pulled up out of a tissue box on a bedside table — plain tissues, no face, eyes, or mouth.",,,,,FALSE,,FALSE,tissues|kleenex
