id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes
nouns.colors.red,Nouns,Learning,Colors,red,,object,none,v1_extended,false,stage_5plus,,false,,,,Red is a color you can see all around you. | Things like a fire truck and a strawberry are red. | You can say 'I see red!' or 'I want the red one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright red, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""red"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.blue,Nouns,Learning,Colors,blue,,object,none,v1_extended,false,stage_5plus,,false,,,,Blue is a color you can see all around you. | Things like the sky and the ocean are blue. | You can say 'I see blue!' or 'I want the blue one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright blue, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""blue"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.green,Nouns,Learning,Colors,green,,object,none,v1_extended,false,stage_5plus,,false,,,,Green is a color you can see all around you. | Things like grass and a leaf are green. | You can say 'I see green!' or 'I want the green one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright green, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""green"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.yellow,Nouns,Learning,Colors,yellow,,object,none,v1_extended,false,stage_5plus,,false,,,,Yellow is a color you can see all around you. | Things like the sun and a banana are yellow. | You can say 'I see yellow!' or 'I want the yellow one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright yellow, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""yellow"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.orange,Nouns,Learning,Colors,orange,,object,none,v1_extended,false,stage_5plus,,false,,,,Orange is a color you can see all around you. | Things like an orange and a pumpkin are orange. | You can say 'I see orange!' or 'I want the orange one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright orange, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""orange"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.purple,Nouns,Learning,Colors,purple,,object,none,v1_extended,false,stage_5plus,,false,,,,Purple is a color you can see all around you. | Things like a grape and a plum are purple. | You can say 'I see purple!' or 'I want the purple one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright purple, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""purple"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.pink,Nouns,Learning,Colors,pink,,object,none,v1_extended,false,stage_5plus,,false,,,,Pink is a color you can see all around you. | Things like a flower and bubblegum are pink. | You can say 'I see pink!' or 'I want the pink one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright pink, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""pink"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.black,Nouns,Learning,Colors,black,,object,none,v1_extended,false,stage_5plus,,false,,,,Black is a color you can see all around you. | Things like the night sky and a tire are black. | You can say 'I see black!' or 'I want the black one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid black, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""black"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.white,Nouns,Learning,Colors,white,,object,none,v1_extended,false,stage_5plus,,false,,,,White is a color you can see all around you. | Things like snow and a cloud are white. | You can say 'I see white!' or 'I want the white one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid white (with a soft outline), a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""white"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.brown,Nouns,Learning,Colors,brown,,object,none,v1_extended,false,stage_5plus,,false,,,,Brown is a color you can see all around you. | Things like a tree trunk and chocolate are brown. | You can say 'I see brown!' or 'I want the brown one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid brown, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""brown"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Non-core; great for matching games.
nouns.colors.more.gray,Nouns,Learning,Colors,gray,,object,none,v1_extended,false,stage_5plus,,false,,,,Gray is a color you can see all around you. | Things like an elephant and a rain cloud are gray. | You can say 'I see gray!' or 'I want the gray one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid medium gray, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""gray"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.colors.more.gold,Nouns,Learning,Colors,gold,,object,none,v1_extended,false,stage_5plus,,false,,,,Gold is a color you can see all around you. | Things like a shiny crown and a coin are gold. | You can say 'I see gold!' or 'I want the gold one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with rich warm gold with a soft sheen, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""gold"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.colors.more.silver,Nouns,Learning,Colors,silver,,object,none,v1_extended,false,stage_5plus,,false,,,,Silver is a color you can see all around you. | Things like a spoon and a shiny key are silver. | You can say 'I see silver!' or 'I want the silver one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with shiny cool silver with a soft sheen, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""silver"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.colors.more.lime,Nouns,Learning,Colors,lime,,object,none,v1_extended,false,stage_5plus,,false,,,,Lime is a color you can see all around you. | Things like a lime and bright grass are lime. | You can say 'I see lime!' or 'I want the lime one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid bright lime green, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""lime"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.colors.more.teal,Nouns,Learning,Colors,teal,,object,none,v1_extended,false,stage_5plus,,false,,,,Teal is a color you can see all around you. | Things like a peacock feather and shallow sea water are teal. | You can say 'I see teal!' or 'I want the teal one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid cool teal, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""teal"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.colors.more.navy,Nouns,Learning,Colors,navy,,object,none,v1_extended,false,stage_5plus,,false,,,,Navy is a color you can see all around you. | Things like a dark blue sky and blue jeans are navy. | You can say 'I see navy!' or 'I want the navy one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with solid deep navy blue, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""navy"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.colors.more.peach,Nouns,Learning,Colors,peach,,object,none,v1_extended,false,stage_5plus,,false,,,,Peach is a color you can see all around you. | Things like a peach and a sunset are peach. | You can say 'I see peach!' or 'I want the peach one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with soft warm peach, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""peach"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.colors.more.tan,Nouns,Learning,Colors,tan,,object,none,v1_extended,false,stage_5plus,,false,,,,Tan is a color you can see all around you. | Things like sand and a teddy bear are tan. | You can say 'I see tan!' or 'I want the tan one.',universal,canonical,draft,"A {style} of a simple rounded shape filled with warm light tan, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""tan"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.shapes.circle,Nouns,Learning,Shapes,circle,,object,none,v1_extended,false,stage_5plus,,false,,,,A circle is a shape. | It is perfectly round with no corners. | You can find a circle in a ball or a wheel.,universal,canonical,draft,"A {style} of a single bright bold circle, evenly outlined, centered, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""circle"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
nouns.shapes.square,Nouns,Learning,Shapes,square,,object,none,v1_extended,false,stage_5plus,,false,,,,A square is a shape. | It has four equal sides and four corners. | You can find a square in a window or a cracker.,universal,canonical,draft,"A {style} of a single bright bold square, evenly outlined, centered, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""square"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
nouns.shapes.triangle,Nouns,Learning,Shapes,triangle,,object,none,v1_extended,false,stage_5plus,,false,,,,A triangle is a shape. | It has three sides and three corners. | You can find a triangle in a slice of pizza or a party hat.,universal,canonical,draft,"A {style} of a single bright bold equilateral triangle, evenly outlined, centered, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""triangle"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
nouns.shapes.rectangle,Nouns,Learning,Shapes,rectangle,,object,none,v1_extended,false,stage_5plus,,false,,,,A rectangle is a shape. | It has four sides — two long and two short. | You can find a rectangle in a door or a book.,universal,canonical,draft,"A {style} of a single bright bold rectangle, evenly outlined, centered, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""rectangle"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
nouns.shapes.oval,Nouns,Learning,Shapes,oval,,object,none,v1_extended,false,stage_5plus,,false,,,,"An oval is a shape. | It is like a stretched-out circle, shaped like an egg. | You can find an oval in an egg.",universal,canonical,draft,"A {style} of a single bright bold oval, evenly outlined, centered, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""oval"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
nouns.shapes.diamond,Nouns,Learning,Shapes,diamond,,object,none,v1_extended,false,stage_5plus,,false,,,,A diamond is a shape. | It has four points and looks like a tilted square. | You can find a diamond in a kite.,universal,canonical,draft,"A {style} of a single bright bold diamond (rotated square), evenly outlined, centered, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""diamond"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
nouns.shapes.heart,Nouns,Learning,Shapes,heart,,object,none,v1_extended,false,stage_5plus,,false,,,,A heart is a shape. | It has two bumps on top and a point at the bottom. | You can find a heart in a valentine.,universal,canonical,draft,"A {style} of a single bright bold red heart shape, centered, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""heart"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
nouns.shapes.star,Nouns,Learning,Shapes,star,,object,none,v1_extended,false,stage_5plus,,false,,,,A star is a shape. | It has five pointy points. | You can find a star in a star up in the sky.,universal,canonical,draft,"A {style} of a single bright bold five-pointed yellow star, centered (the shape, distinct from nouns.nature.star), a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, simple and uncluttered, instantly recognizable to a toddler. At the bottom, include a clean caption reading ""star"", spelled exactly, in a simple friendly rounded font; no other text or logos.",Great for matching games + early geometry.
