id,column,category,subcategory,label,pronunciation,subject_mode,parent_photo_behavior,phase,core,growth_stage,meal_context,is_gestalt,gestalt_type,gestalt_meaning,gestalt_target_words,descriptive_clues,audience,authoring_kind,status,prompt_template,notes
nouns.animals.farm.pony,Nouns,Animals,Farm,Pony,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Pony lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Pony!' or 'I see a Pony.'",universal,canonical,draft,"A {style} of a single friendly Pony, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Pony"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.farm.chick,Nouns,Animals,Farm,Chick,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Chick lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Chick!' or 'I see a Chick.'",universal,canonical,draft,"A {style} of a single friendly Chick, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Chick"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.farm.goose,Nouns,Animals,Farm,Goose,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Goose lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Goose!' or 'I see a Goose.'",universal,canonical,draft,"A {style} of a single friendly Goose, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Goose"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.farm.peacock,Nouns,Animals,Farm,Peacock,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Peacock lives on a farm. | Farm animals live with the farmer and give us things like milk and eggs. | You can say 'look, a Peacock!' or 'I see a Peacock.'",universal,canonical,draft,"A {style} of a single friendly Peacock, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Peacock"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.allosaurus,Nouns,Animals,Dinosaurs,Allosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Allosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Allosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Allosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Allosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.ankylosaurus,Nouns,Animals,Dinosaurs,Ankylosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Ankylosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Ankylosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Ankylosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Ankylosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.dilophosaurus,Nouns,Animals,Dinosaurs,Dilophosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Dilophosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Dilophosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Dilophosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Dilophosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.brachiosaurus,Nouns,Animals,Dinosaurs,Brachiosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Brachiosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Brachiosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Brachiosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Brachiosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.spinosaurus,Nouns,Animals,Dinosaurs,Spinosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Spinosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Spinosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Spinosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Spinosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
nouns.animals.dinosaurs.corythosaurus,Nouns,Animals,Dinosaurs,Corythosaurus,,object,none,v1_extended,false,stage_5plus,,false,,,,"A Corythosaurus is a kind of dinosaur — a giant animal that lived long, long ago. | Some dinosaurs ate plants and some ate other animals. | You can say 'look, a Corythosaurus!' or 'I see a dinosaur.'",universal,canonical,draft,"A {style} of a single friendly Corythosaurus, a single clear subject centered and filling most of the frame on a plain soft pastel background; soft even lighting, bright cheerful colors, the meaning obvious at a glance to a toddler; minimal extra detail. At the bottom, include a clean caption reading ""Corythosaurus"", spelled exactly, in a simple friendly rounded font; no other text or logos.",
